Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
1/19/1973,14:31,"Near Glasgow, England",British European Airways,,Test flight,Vickers 802 Viscount,G-AOHI,158,4.0,4.0,0.0,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions.,"weather, cfit, pilot_error","weather, cfit, pilot_error"
8/12/1972,,"Near Delhi, India",Indian Airlines,,Gwalior - Delhi,Fokker F-27 Friendship 100,VT-DME,10175,18.0,18.0,0.0,Crashed on second approach after the pilot used the wrong flap setting and gears down after initiating a go-around.,unknown,pilot_error
8/7/1971,,"Irkutsk, USSR",Aeroflot,,Odessa - Irkutsk - Vladivostok,Tupolev TU-104,,,100.0,100.0,0.0,A few seconds after taking off the airliner lost altitude and slammed into the tarmaexploding in flames.,fire,fire
12/15/1986,,"Near Lanzhou, China",CAAC,,Lanzhou - Chengdu,Antonov AN-24RV,B-3413,37308907,44.0,6.0,0.0,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport.","mechanical, weather","mechanical, weather"
8/29/2001,10:15,"Near Malaga, Spain",Binter Mediterráneo,8261,Melilla - Málaga,CASA  CN-235-200,EC-FBC,C033,47.0,4.0,0.0,"The aircraft crash-landed on a highway near Ruiz Picasso Airport in Málaga. While on final approach, the pilot reported failure of the plane's left engine forcing the crew to make an emergency landing.  The plane crashed 1,300 ft. short of the runway. The pilot later died of his injuries.",mechanical,mechanical
3/7/1948,,"Near Skalafell, Iceland",Loftleidir IcelandiAirlines,,,Avro Anson,TF-RVL,4185,5.0,5.0,0.0,Crashed into a mountain.,cfit,Crashed into a mountain.
7/17/1995,,"Bintuni,  Indonesia",Merpati Nusantara Airlines,,,de Havilland Canada DHC-6 Twin Otter 300,PK-NUT,473,18.0,1.0,0.0,The plane lost control during takeoff in heavy rain and veered off the runway crashing into a banana plantation.,"weather, pilot_error","weather, pilot_error"
5/22/1981,,"Near Zumba, Ecuador",TAME,,,de Havilland Canada DHC-6 Twin Otter 300,HC-BAX,457,18.0,18.0,0.0,Crashed into a mountain in fog.,"weather, cfit","weather, cfit"
7/14/1960,4:30,"Off Manila, Philippines",Northwest Orient Airlines,11-Jan,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58.0,1.0,0.0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.","fire, mechanical, cfit, pilot_error","fire, mechanical, cfit"
5/27/1938,,Germany,Deutsche Lufthansa,,,Heinkel 116,D-ATIO,,3.0,3.0,0.0,,unknown,unknown
7/16/1957,3:36,"Near Biak, Indonesia",KLM Royal Dutch Airlines,844,Mokmer - Manila,Lockheed 1049C Super Constellation,PH-LKT,4504,68.0,58.0,0.0,"The pilot asked for clearance to make a low pass over Mokmer to give the passengers a final glimpse of the island. The plane gradually descended over the sea, crashed, burst into flames, broke apart and sank. Crew did not properly monitor their altitude.","fire, cfit","fire, cfit, pilot_error"
8/10/1997,8:15,"Matsu Island, Taiwan",Formosa Airlines,7601,Taipei - Matsu,Dornier DO-228-212,B-12256,8220,16.0,16.0,0.0,The aircraft flew into a mountain and exploded in flames after a missed approach and while executing a go-around in rain and high winds. The pilot turned right instead of left when initiating the go-around.,"fire, weather, cfit","fire, weather, cfit, pilot_error"
1/21/1959,,"Near Merida, Venezuela",Linea Expresa Bolivar,,Merida - Lagunillas,Curtiss C-46D-15-CU,YV-C-LBI,33411,4.0,4.0,0.0,"While en route,  flying VFR the plane ran into a cloud covered El Callejon pass  at 7,000 feet. The aircraft made a 180deg turn but crashed into the La Culata Peak at an altitude of 13,500 feet. Flying of the aircraft at an insufficient altitude over an area apparently unfamiliar to the pilot.","weather, cfit","weather, cfit"
9/15/2001,,"Belo Horizonte, Brazil",TAM (Brazil),9755,Recife  - Sao Paulo,Fokker 100,PT-MRN,11443,82.0,1.0,0.0,"While the aircraft was over Belo Horizonte, the cabin depressurized, causing the death of one passenger. The aircraft made an emergency landing at Cofins. Three of the other 77 passengers aboard suffered minor injuries. Pressurization was lost at an altitude of  33,000 feet when the right engine disintegrated, causing pieces of the engine to break two cabin windows.",mechanical,mechanical
11/21/1977,,"Near Point Hope, Alaska",Munz Northern Airlines,,,Britten-Norman BN-2A-8 Islander,N36MN,546,2.0,2.0,0.0,Aircraft went missing. Never found.,undetermined,undetermined
